Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2022-08-07 17:00:00+00:00,93.306564,270.0,16.231498999999985,1018.4,66940.02420411524,2.4375435814583812,4.0416737084855585,2.805861782779449,7.247836185578424,2.9917219365086547,47.98150572236402,-81.60798748645024,65038.367696615496,5995.280738897717,143.23629909043365,
2022-08-07 18:00:00+00:00,86.97945,270.0,16.931500000000028,1018.6,66978.56462436075,2.4365587898078624,4.264956138665987,2.798254523855487,7.186078280393551,2.846484135581512,47.98854365073023,-81.61416475935611,63516.79635191515,8557.535155030484,137.62172048113158,
2022-08-07 19:00:00+00:00,88.14218,270.0,17.381500000000017,1017.9,66960.24852053846,2.4354684530331685,4.136845363693323,2.8048310150302407,7.213569639031059,3.1205667604757137,47.98932267272788,-81.6197488534575,62148.3908578758,8837.16995042936,142.95253619818962,
2022-08-08 11:00:00+00:00,103.3348,250.00000000000003,10.98150099999998,1014.1,68179.03208983524,2.446055029970978,3.9931469042272156,2.9113715958601296,7.255150846944246,1.4610623077813454,48.02288067190637,-81.62430375288989,60993.40438925249,21075.37837785448,52.33338897421735,
2022-08-08 12:00:00+00:00,106.09917,250.00000000000003,11.681500000000028,1014.8,67847.17066072242,2.4442019434053135,4.200751288066188,2.81717305351003,7.268525248349035,2.172431573702253,48.04920370404261,-81.64541353438636,55798.90718063989,30661.99951152016,103.78365645471158,
2022-08-08 13:00:00+00:00,101.851364,250.00000000000003,11.98150099999998,1015.0,67441.67879834153,2.4448428672155345,4.2943126744644475,2.801598243457689,7.245361094722275,3.0504225662087143,48.052371506939664,-81.65035714601169,54586.35355522769,31814.074582930283,141.36674049131068,
2022-08-09 12:00:00+00:00,66.16041,260.0,8.531500999999992,1017.1,66533.07251154294,2.4514443556410535,4.1894543813838885,2.896223035572982,7.255728477842398,5.153718012452165,47.94794380687023,-81.73510569675668,33926.4867681251,-6329.466475999697,208.0567940616345,
2022-08-09 13:00:00+00:00,63.286842,260.0,11.931500000000028,1017.8,66473.20926915268,2.444650462851848,5.063812988632469,2.850681188969169,7.274883227938885,5.035069462740128,47.94048516909375,-81.73685205324878,33503.310272748,-9051.09344618558,203.71622841187218,
2022-08-09 14:00:00+00:00,62.013607,260.0,15.531500999999992,1017.6,66531.33967630517,2.4380636485669704,4.890090569473617,2.8046333165119255,7.2345682384076975,4.896029354137939,47.94849498172133,-81.7272960767423,35840.08443544131,-6124.870054124766,192.641887213488,
2022-08-09 15:00:00+00:00,62.13873,260.0,17.531499999999994,1016.9,66650.15461901136,2.4344942974230133,4.928059003827842,2.854709448304952,7.126847480626877,4.639226019094259,47.95440648324203,-81.72659669943272,36007.37862870076,-3968.0636967444716,182.77876333599158,
